source_iso3,target_iso3,year,export_value,import_value,log_value,above_threshold
BRN,LAO,1995,898441078.51,850375228.06,8.9535,TRUE
BRN,MYS,1995,68063541.43,58429774.67,7.8329,FALSE
BRN,PHL,1995,2179483.87,2608245.3,6.3384,FALSE
BRN,SGP,1995,467165767.19,432149927.6,8.6695,TRUE
BRN,THA,1995,460122765.11,479038069.94,8.6629,TRUE
BRN,CHN,1995,1372781329.78,1525889152.55,9.1376,TRUE
BRN,USA,1995,26565450.7,28397593.49,7.4243,FALSE
BRN,KOR,1995,200300396.25,198855849.54,8.3017,FALSE
BRN,IND,1995,23726102.83,22709412.41,7.3752,FALSE
BRN,HKG,1995,38401146.71,37162294.35,7.5843,FALSE
BRN,FRA,1995,515024681.77,493122517.73,8.7118,TRUE
BRN,BRA,1995,26115263035.98,22282730074.57,10.4169,TRUE
BRN,ZAF,1995,97431049.7,109510159.14,7.9887,FALSE
BRN,MEX,1995,254299893.97,281130593.29,8.4053,FALSE
BRN,CAN,1995,169703231.9,193902575.77,8.2297,FALSE
BRN,NLD,1995,106333696.86,123588733.42,8.0267,FALSE
BRN,ITA,1995,28691359.74,31466341.17,7.4578,FALSE
BRN,ESP,1995,207684624.06,246827246.76,8.3174,FALSE
BRN,SAU,1995,14616001.09,12918535.68,7.1648,FALSE
BRN,ARE,1995,15467130.61,15072365.02,7.1894,FALSE
BRN,PAK,1995,13719822537.72,12834177098.11,10.1373,TRUE
BRN,NGA,1995,2404888751.87,2483652616.87,9.3811,TRUE
BRN,EGY,1995,12157553.75,14796888.03,7.0848,FALSE
KHM,BRN,1995,4312009638.99,4759073708.99,9.6347,TRUE
KHM,IDN,1995,3139543734.75,3073014146.46,9.4969,TRUE
KHM,LAO,1995,252041632.73,222038304.2,8.4015,FALSE
KHM,MYS,1995,266719827.2,284854492.79,8.4261,FALSE
KHM,PHL,1995,233572982.26,230113894.56,8.3684,FALSE
KHM,SGP,1995,392450558.9,373949969.26,8.5938,TRUE
KHM,THA,1995,3597737810.25,3653637764.05,9.556,TRUE
KHM,USA,1995,22074491.97,19228979.53,7.3439,FALSE
KHM,JPN,1995,141590196.77,157176684.28,8.151,FALSE
KHM,IND,1995,343428104.15,319141486.62,8.5358,FALSE
KHM,FRA,1995,69896173.95,66466800.99,7.8445,FALSE
KHM,BRA,1995,1042639240.88,1268891820.84,9.0181,TRUE
KHM,ZAF,1995,34192168.38,35073620.08,7.5339,FALSE
KHM,RUS,1995,75408143.23,65264580.56,7.8774,FALSE
KHM,CAN,1995,79931819.15,93565856.83,7.9027,FALSE
KHM,NLD,1995,44693768.5,42837614.29,7.6502,FALSE
KHM,ESP,1995,61200932.07,60609139.84,7.7868,FALSE
KHM,BGD,1995,496503278.1,481794535.45,8.6959,TRUE
KHM,CHL,1995,16430400.97,17576144.89,7.2156,FALSE
KHM,ARG,1995,367767747.26,357228934.69,8.5656,TRUE
IDN,KHM,1995,1802878027.71,1558457393.46,9.256,TRUE
IDN,SGP,1995,868620162.31,805237671.66,8.9388,TRUE
IDN,VNM,1995,5161192637.52,5561736877.1,9.7128,TRUE
IDN,USA,1995,771176300.85,944483283.51,8.8872,TRUE
IDN,JPN,1995,696221858.64,742523315.83,8.8427,TRUE
IDN,KOR,1995,370422514.52,380867876.19,8.5687,TRUE
